pixel;year;Length.cm;WetWeight.g;N.eggs;Faeces.g/h;N.eggs.CUM;Faeces.g/h.CUM;TimeToCommercial.days
p1;12;14.57;38.33;128490653;26.01;984904316;225.77;357
p2;12;14.57;38.33;128490653;26.01;984904316;225.77;357
